Area name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Aged 90 years and over,Con,Lab,LibDem,Green,Other,Vacant,Majority
Adur,0.049612403,0.060465116,0.058914729,0.049612403,0.041860465,0.049612403,0.057364341,0.060465116,0.063565891,0.069767442,0.072868217,0.069767442,0.062015504,0.055813953,0.062015504,0.048062016,0.035658915,0.021705426,0.034108527,0.551724138,0.310344828,0,0.068965517,0.068965517,0,CON
Amber Valley,0.048335975,0.053090333,0.056259905,0.047543582,0.047543582,0.057052298,0.059429477,0.057052298,0.057052298,0.066561014,0.07844691,0.077654517,0.066561014,0.059429477,0.064976228,0.046751189,0.029318542,0.016640254,0.02614897,0.555555556,0.2,0,0.066666667,0.177777778,0,CON
Arun,0.044296117,0.049757282,0.050364078,0.046116505,0.044902913,0.050970874,0.056432039,0.05461165,0.052791262,0.057038835,0.069174757,0.072208738,0.066747573,0.064927184,0.076456311,0.058859223,0.041262136,0.026092233,0.043082524,0.425925926,0.018518519,0.314814815,0.055555556,0.185185185,0,NOC
Ashfield,0.053840063,0.060965954,0.060174188,0.051464766,0.050673001,0.062549485,0.068091845,0.063341251,0.059382423,0.064133017,0.075217736,0.072842439,0.060965954,0.052256532,0.053048298,0.041963579,0.026920032,0.014251781,0.022169438,0.085714286,0.057142857,0,0,0.857142857,0,IND
Ashford,0.057272042,0.062547099,0.064807837,0.055011304,0.048982668,0.06028636,0.066314996,0.062547099,0.061793519,0.064054258,0.07535795,0.070082894,0.056518463,0.050489827,0.054257724,0.040693293,0.026375283,0.01582517,0.024114544,0.489361702,0.127659574,0,0.085106383,0.29787234,0,NOC
Babergh,0.043336945,0.05092091,0.056338028,0.052004334,0.043336945,0.046587216,0.052004334,0.05092091,0.055254605,0.06283857,0.07475623,0.078006501,0.068255688,0.063921993,0.073672806,0.055254605,0.036836403,0.021668472,0.034669556,0.3125,0.03125,0.09375,0.125,0.4375,0,NOC
Barking and Dagenham,0.078574692,0.083599817,0.083142988,0.06898127,0.060301508,0.0694381,0.082686158,0.084970306,0.078117862,0.068067611,0.063042485,0.051621745,0.039287346,0.026952947,0.021927821,0.014618547,0.01187757,0.006852444,0.01142074,0,0.960784314,0,0,0.019607843,0.019607843,LAB
Barnet,0.061905985,0.064731569,0.066272797,0.055227331,0.057539173,0.071923966,0.077575135,0.079116363,0.077318264,0.07063961,0.065759055,0.058823529,0.04906242,0.039558181,0.036989468,0.026971487,0.019008477,0.013100437,0.02157719,0.349206349,0.634920635,0,0,0.015873016,0,LAB
Barnsley,0.05519215,0.058871627,0.058871627,0.050286182,0.050695012,0.06582175,0.068683565,0.064186427,0.056418643,0.062551104,0.076451349,0.073589534,0.063777596,0.05478332,0.053556827,0.039247751,0.025347506,0.014717907,0.02207686,0.047619048,0.714285714,0.142857143,0,0.079365079,0.015873016,LAB
Basildon,0.065031983,0.06663113,0.063965885,0.054371002,0.051705757,0.065565032,0.074626866,0.069829424,0.064498934,0.063432836,0.069296375,0.065565032,0.055970149,0.044776119,0.046908316,0.032515991,0.023454158,0.014925373,0.02238806,0.595238095,0.238095238,0,0,0.166666667,0,CON
Basingstoke and Deane,0.057235421,0.062634989,0.060475162,0.049136069,0.049676026,0.06425486,0.073974082,0.071274298,0.068574514,0.069654428,0.073974082,0.070194384,0.056155508,0.045896328,0.048056156,0.034557235,0.023218143,0.01349892,0.021058315,0.481481481,0.166666667,0.12962963,0.018518519,0.203703704,0,NOC
Bassetlaw,0.050933786,0.056027165,0.056027165,0.049235993,0.048387097,0.058573854,0.061120543,0.057724958,0.056027165,0.063667233,0.075551783,0.078098472,0.066213922,0.057724958,0.06196944,0.045840407,0.029711375,0.016977929,0.026315789,0.125,0.708333333,0.041666667,0,0.125,0,LAB
Bath and North East Somerset,0.046535677,0.051706308,0.054808687,0.076525336,0.096173733,0.059462254,0.060496381,0.056359876,0.055842813,0.060496381,0.065667011,0.066184074,0.055842813,0.04860393,0.050672182,0.038262668,0.027404343,0.017580145,0.028438469,0.169491525,0.084745763,0.610169492,0.016949153,0.118644068,0,LD
Bedford,0.060442526,0.063140853,0.064759849,0.055585537,0.053966541,0.064220183,0.073394495,0.071775499,0.070156503,0.066378845,0.070156503,0.064759849,0.053966541,0.045331894,0.045331894,0.031840259,0.022665947,0.014570966,0.023205613,0.3,0.275,0.325,0.05,0.025,0.025,NOC
Bexley,0.060851927,0.065720081,0.06653144,0.057200811,0.054766734,0.060446247,0.069371197,0.071805274,0.069371197,0.064908722,0.070182556,0.067342799,0.055172414,0.043407708,0.042596349,0.031643002,0.024340771,0.015415822,0.024340771,0.711111111,0.266666667,0,0,0.022222222,0,CON
Birmingham,0.065507905,0.071010569,0.072582758,0.075465106,0.081404489,0.072146039,0.074067604,0.070399161,0.064634466,0.059393834,0.061053367,0.054764608,0.045942877,0.03720849,0.032579265,0.024543628,0.018342213,0.011878767,0.018778933,0.217821782,0.643564356,0.118811881,0.01980198,0,0,LAB
