Area name,All persons,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 years and over,Density,Male,Female,Con,Lab,LibDem,Green,Other,Vacant,Total,Majority
Adur,64500,3200,3900,3800,3200,2700,3200,3700,3900,4100,4500,4700,4500,4000,3600,4000,3100,2300,1400,800,1533,33300,31200,16,9,0,2,2,0,29,CON
Amber Valley,126200,6100,6700,7100,6000,6000,7200,7500,7200,7200,8400,9900,9800,8400,7500,8200,5900,3700,2100,1200,475,64200,62000,25,9,0,3,8,0,45,CON
Arun,164800,7300,8200,8300,7600,7400,8400,9300,9000,8700,9400,11400,11900,11000,10700,12600,9700,6800,4300,2800,746,85400,79400,23,1,17,3,10,0,54,NOC
Ashfield,126300,6800,7700,7600,6500,6400,7900,8600,8000,7500,8100,9500,9200,7700,6600,6700,5300,3400,1800,1000,1153,64400,61900,3,2,0,0,30,0,35,IND
Ashford,132700,7600,8300,8600,7300,6500,8000,8800,8300,8200,8500,10000,9300,7500,6700,7200,5400,3500,2100,1100,229,68200,64600,23,6,0,4,14,0,47,NOC
Babergh,92300,4000,4700,5200,4800,4000,4300,4800,4700,5100,5800,6900,7200,6300,5900,6800,5100,3400,2000,1200,155,47500,44800,10,1,3,4,14,0,32,NOC
Barking and Dagenham,218900,17200,18300,18200,15100,13200,15200,18100,18600,17100,14900,13800,11300,8600,5900,4800,3200,2600,1500,1000,6064,112400,106500,0,49,0,0,1,1,51,LAB
Barnet,389300,24100,25200,25800,21500,22400,28000,30200,30800,30100,27500,25600,22900,19100,15400,14400,10500,7400,5100,3300,4487,200900,188400,22,40,0,0,1,0,63,LAB
Barnsley,244600,13500,14400,14400,12300,12400,16100,16800,15700,13800,15300,18700,18000,15600,13400,13100,9600,6200,3600,1800,743,124300,120300,3,45,9,0,5,1,63,LAB
Basildon,187600,12200,12500,12000,10200,9700,12300,14000,13100,12100,11900,13000,12300,10500,8400,8800,6100,4400,2800,1400,1705,96600,91000,25,10,0,0,7,0,42,CON
